month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2019-05-01,-25.0,-25.0,8900.0,7895.0,0.027,0.03,0.0,0.0,0.0250483029237665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-06-01,-585.0,-560.0,8875.0,7870.0,0.027,0.03,0.0,0.0,0.0250483029237665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-07-01,150.0,140.0,8290.0,7310.0,0.0279999999999999,0.03,0.018094089264173704,0.019151846785225718,0.02725459970880806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-08-01,-290.0,-275.0,8440.0,7450.0,0.0279999999999999,0.03,0.0,0.0,0.02597883153836349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-09-01,240.0,230.0,8150.0,7175.0,0.03,0.03,0.029447852760736196,0.03205574912891986,0.02973572105356602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2019-10-01,-150.0,-145.0,8390.0,7405.0,0.038,0.03,0.0,0.0,0.03528411768433444,0.005284117684334441,0.0,0.19517858187118972,0.0,0.19517858187118972,0.19517858187118972,0.16945538967764592,current,Current mechanism
2019-11-01,175.0,170.0,8240.0,7260.0,0.045,0.03,0.021237864077669904,0.023415977961432508,0.04310457239289809,0.013104572392898091,0.0,1.200419119836179,0.0,1.200419119836179,1.200419119836179,1.0422121514469456,current,Current mechanism
2019-12-01,290.0,280.0,8415.0,7430.0,0.045,0.03,0.0344622697563874,0.03768506056527591,0.04398169872905007,0.013981698729050071,0.0,1.366491942720663,0.0,1.366491942720663,1.366491942720663,1.1863977206162588,current,Current mechanism
2020-01-01,0.0,0.0,8705.0,7710.0,0.054,0.035,0.0,0.0,0.05017257551788781,0.01517257551788781,0.0,1.6091843898531768,0.0,1.6091843898531768,1.6091843898531768,1.397104975512715,current,Current mechanism
2020-02-01,-835.0,-805.0,8705.0,7710.0,0.052,0.035,0.0,0.0,0.048311518288693636,0.013311518288693633,0.0,1.238632245280346,0.0,1.238632245280346,1.238632245280346,1.075389050268844,current,Current mechanism
2020-03-01,-1015.0,-975.0,7870.0,6905.0,0.043,0.035,0.0,0.0,0.03993676075731987,0.004936760757319865,0.0,0.1703614617577899,0.0,0.1703614617577899,0.1703614617577899,0.14790899499040247,current,Current mechanism
2020-04-01,0.0,0.0,6855.0,5930.0,0.033,0.035,0.0,0.0,0.030631474611349012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2020-05-01,0.0,0.0,6855.0,5930.0,0.024,0.035,0.0,0.0,0.022256717079975244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2020-06-01,120.0,110.0,6855.0,5930.0,0.025,0.035,0.0175054704595186,0.01854974704890388,0.02441725101127953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2020-07-01,100.0,100.0,6975.0,6040.0,0.027,0.035,0.014336917562724014,0.016556291390728478,0.025777958567395245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2020-08-01,85.0,80.0,7075.0,6140.0,0.024,0.035,0.012014134275618375,0.013029315960912053,0.023040111192034664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2020-09-01,-315.0,-300.0,7160.0,6220.0,0.017,0.035,0.0,0.0,0.015743016777795642,0.0,0.004256983222204358,0.0,0.12667504653079137,0.12667504653079137,0.12667504653079137,0.10998014826481192,current,Current mechanism
